,0
0,AIDS
1,Alcoholic hepatitis
2,Allergy
3,Bronchial Asthma
4,Cervical spondylosis
5,Chicken pox
6,Chronic cholestasis
7,Dengue
8,Diabetes
9,Drug reaction
10,Fungal infection
11,GERD
12,Gastroenteritis
13,Hypertension
14,Jaundice
15,Malaria
16,Migraine
17,Paralysis (brain hemorrhage)
18,Peptic ulcer disease
19,Tuberculosis
20,Typhoid
21,acne
22,arthristis
23,common cold
24,fever
25,goodbye
26,greeting
27,heart attack
28,hepatitis A
29,hepatitis B
30,hepatitis C
31,hepatitis D
32,hepatitis E
33,hyperthyrodism
34,hypoglycemia
35,hypothyroidism
36,impetigo
37,osteoarthritis
38,paroxysmal
39,pneumonia
40,psoriasis
41,urinary tract infection
42,varicose veins
