,0
0,abdomen
1,abdominal
2,abnormal
3,acidity
4,acute
5,adios
6,alcohol
7,altered
8,and
9,anxitey
10,appetite
11,are
12,around
13,back
14,balance
15,behind
16,belly
17,blackhead
18,bladder
19,bleeding
20,blister
21,blood
22,blurred
23,body
24,breathlessness
25,brittle
26,burning
27,bye
28,calf
29,chest
30,chill
31,cold
32,concentration
33,constipation
34,consumption
35,contact
36,continuous
37,cough
38,cramp
39,cya
40,dark
41,dehydration
42,dent
43,depression
44,diarrhoea
45,discomfort
46,distention
47,distorted
48,disturbance
49,dizziness
50,drying
51,dusting
52,enlarged
53,excessive
54,extra
55,extremeties
56,eye
57,face
58,failure
59,fast
60,fatigue
61,feel
62,feets
63,fever
64,filled
65,fluid
66,foul
67,from
68,g2g
69,gain
70,gas
71,hand
72,headache
73,heart
74,hello
75,hi
76,high
77,hip
78,history
79,how
80,hunger
81,in
82,increased
83,indigestion
84,inflammatory
85,injection
86,internal
87,irregular
88,irritability
89,irritablity
90,irritation
91,itching
92,join
93,joint
94,knee
95,lack
96,leg
97,lethargy
98,level
99,like
100,limb
101,lip
102,liver
103,look
104,loss
105,lymph
106,malaise
107,marital
108,menstruation
109,micnutrition
110,micturition
111,mild
112,mood
113,movement
114,mucoid
115,muscle
116,nail
117,nausea
118,neck
119,nodal
120,node
121,nose
122,obesity
123,of
124,on
125,one
126,over
127,overload
128,pain
129,painfull
130,palpitation
131,passage
132,patch
133,peeling
134,phlegm
135,pimple
136,polyuria
137,pressure
138,prominent
139,pu
140,puffy
141,rash
142,rate
143,receiving
144,red
145,reddness
146,restlessness
147,running
148,rusty
149,scurring
150,see
151,sense
152,sensorium
153,shivering
154,side
155,silver
156,sinus
157,skin
158,slurred
159,small
160,smell
161,sneezing
162,sore
163,speech
164,spinning
165,spot
166,spotting
167,sputum
168,stiff
169,stiffness
170,stomach
171,sugar
172,sunken
173,sweating
174,swelled
175,swelling
176,swing
177,swollen
178,temperaure
179,thank
180,the
181,there
182,throat
183,thyroid
184,tingling
185,tongue
186,toxic
187,transfusion
188,typhos
189,ulers
190,unsteadiness
191,unsterile
192,up
193,urination
194,urine
195,vein
196,vessel
197,vision
198,visual
199,vomiting
200,walking
201,wasting
202,watering
203,weakness
204,weekness
205,weight
206,whats
207,with
208,ya
209,yellow
210,yellowing
211,yellowish
212,you
